,,sawfish,FocalSV,PAV,SVIM-asm,Dipcall,cuteSV,SVIM,PBSV,Sniffles2,SKSV
HIFI DEL,Recall,0.953,0.954,0.932,0.939,0.926,0.885,0.888,0.934,0.847,0.853
HIFI DEL,F1,0.942,0.942,0.928,0.928,0.915,0.883,0.881,0.932,0.842,0.853
ONT DEL,Recall,,0.939,0.928,0.939,0.907,0.928,0.93,,0.924,
ONT DEL,F1,,0.929,0.919,0.924,0.886,0.921,0.919,,0.92,
CLR DEL,Recall,,0.942,0.869,0.861,0.21,0.894,0.917,0.919,0.918,
CLR DEL,F1,,0.93,0.841,0.873,0.335,0.907,0.917,0.929,0.922,
HIFI INS,Recall,0.942,0.939,0.931,0.931,0.914,0.823,0.696,0.774,0.768,0.866
HIFI INS,F1,0.888,0.924,0.896,0.897,0.81,0.849,0.766,0.832,0.779,0.864
ONT INS,Recall,,0.928,0.927,0.933,0.895,0.916,0.885,,0.911,
ONT INS,F1,,0.895,0.893,0.891,0.756,0.909,0.854,,0.901,
CLR INS,Recall,,0.928,0.908,0.912,0.9,0.208,0.861,0.712,0.798,0.867
CLR INS,F1,,0.91,0.893,0.805,0.848,0.32,0.865,0.806,0.859,0.873
